Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Critical Path,Chrome 71.0.3578.98,,2019-01-08 17:40:24,2019-01-08 19:54:24,2h - 13m - 59.938s,FAILED
,,,,,,
Test Cases/Final Aug 2018 - PKS Automation/Registration Module/Critical Path/New Registration/Corporation - Sendirian Berhad,Chrome 71.0.3578.98,,2019-01-08 17:40:24,2019-01-08 17:47:37,7m - 13.095s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 17:40:25,2019-01-08 17:41:17,52.454s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 17:41:17,2019-01-08 17:43:52,2m - 34.532s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 17:43:52,2019-01-08 17:47:03,3m - 10.831s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 17:47:03,2019-01-08 17:47:37,34.741s,PASSED
,,,,,,
Test Cases/Final Aug 2018 - PKS Automation/Registration Module/Critical Path/New Registration/Corporation - BHD,Chrome 71.0.3578.98,,2019-01-08 17:47:37,2019-01-08 17:54:46,7m - 8.569s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 17:47:38,2019-01-08 17:48:29,51.263s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 17:48:29,2019-01-08 17:51:02,2m - 32.607s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 17:51:02,2019-01-08 17:54:12,3m - 10.262s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 17:54:12,2019-01-08 17:54:46,34.151s,PASSED
,,,,,,
Test Cases/Final Aug 2018 - PKS Automation/Registration Module/Critical Path/New Registration/Corporation - Limited Liability,Chrome 71.0.3578.98,,2019-01-08 17:54:46,2019-01-08 18:01:53,7m - 6.915s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 17:54:46,2019-01-08 17:55:36,49.290s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 17:55:36,2019-01-08 17:58:08,2m - 32.918s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 17:58:08,2019-01-08 18:01:19,3m - 10.243s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 18:01:19,2019-01-08 18:01:53,34.118s,PASSED
,,,,,,
Test Cases/Final Aug 2018 - PKS Automation/Registration Module/Critical Path/New Registration/Other - Embassy,Chrome 71.0.3578.98,,2019-01-08 18:01:53,2019-01-08 18:09:02,7m - 9.454s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 18:01:53,2019-01-08 18:02:46,52.659s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 18:02:46,2019-01-08 18:05:18,2m - 32.543s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 18:05:18,2019-01-08 18:08:28,3m - 9.835s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 18:08:28,2019-01-08 18:09:02,34.099s,PASSED
,,,,,,
Test Cases/Final Aug 2018 - PKS Automation/Registration Module/Critical Path/New Registration/Other - Business Representative,Chrome 71.0.3578.98,,2019-01-08 18:09:02,2019-01-08 18:16:11,7m - 8.598s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 18:09:03,2019-01-08 18:09:53,50.179s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 18:09:53,2019-01-08 18:12:26,2m - 33.110s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 18:12:26,2019-01-08 18:15:37,3m - 10.800s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 18:15:37,2019-01-08 18:16:11,34.163s,PASSED
,,,,,,
Test Cases/Final Aug 2018 - PKS Automation/Registration Module/Critical Path/New Registration/Other - Cooperative,Chrome 71.0.3578.98,,2019-01-08 18:16:11,2019-01-08 18:23:16,7m - 5.445s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 18:16:11,2019-01-08 18:17:00,48.938s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 18:17:00,2019-01-08 18:19:33,2m - 32.376s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 18:19:33,2019-01-08 18:22:42,3m - 9.662s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 18:22:42,2019-01-08 18:23:16,34.136s,PASSED
,,,,,,
Test Cases/Final Aug 2018 - PKS Automation/Registration Module/Critical Path/New Registration/Other - IPTS,Chrome 71.0.3578.98,,2019-01-08 18:23:16,2019-01-08 18:30:23,7m - 6.192s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 18:23:17,2019-01-08 18:24:06,49.721s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 18:24:06,2019-01-08 18:26:39,2m - 32.528s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 18:26:39,2019-01-08 18:29:48,3m - 9.475s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 18:29:48,2019-01-08 18:30:23,34.117s,PASSED
,,,,,,
Test Cases/Final Aug 2018 - PKS Automation/Registration Module/Critical Path/New Registration/Other - NGO,Chrome 71.0.3578.98,,2019-01-08 18:30:23,2019-01-08 18:37:29,7m - 6.890s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 18:30:23,2019-01-08 18:31:13,50.321s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 18:31:13,2019-01-08 18:33:46,2m - 32.476s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 18:33:46,2019-01-08 18:36:55,3m - 9.634s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 18:36:55,2019-01-08 18:37:29,34.139s,PASSED
,,,,,,
Test Cases/Final Aug 2018 - PKS Automation/Registration Module/Critical Path/New Registration/Partnership - Not Registered,Chrome 71.0.3578.98,,2019-01-08 18:37:29,2019-01-08 18:44:34,7m - 5.016s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 18:37:30,2019-01-08 18:38:18,48.706s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 18:38:18,2019-01-08 18:40:51,2m - 32.413s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 18:40:51,2019-01-08 18:44:00,3m - 9.440s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 18:44:00,2019-01-08 18:44:34,34.133s,PASSED
,,,,,,
Test Cases/Final Aug 2018 - PKS Automation/Registration Module/Critical Path/New Registration/Partnership - Registered with Agency,Chrome 71.0.3578.98,,2019-01-08 18:44:34,2019-01-08 18:51:40,7m - 5.226s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 18:44:35,2019-01-08 18:45:24,48.898s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 18:45:24,2019-01-08 18:47:56,2m - 32.532s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 18:47:56,2019-01-08 18:51:06,3m - 9.325s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 18:51:06,2019-01-08 18:51:40,34.144s,PASSED
,,,,,,
Test Cases/Final Aug 2018 - PKS Automation/Registration Module/Critical Path/New Registration/Partnership - Registered with SSM,Chrome 71.0.3578.98,,2019-01-08 18:51:40,2019-01-08 18:58:45,7m - 4.927s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 18:51:40,2019-01-08 18:52:29,48.498s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 18:52:29,2019-01-08 18:55:01,2m - 32.315s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 18:55:01,2019-01-08 18:58:10,3m - 9.645s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 18:58:10,2019-01-08 18:58:45,34.140s,PASSED
,,,,,,
Test Cases/Final Aug 2018 - PKS Automation/Registration Module/Critical Path/New Registration/Sole Proprietor - Registered with SSM,Chrome 71.0.3578.98,,2019-01-08 18:58:45,2019-01-08 19:05:50,7m - 5.223s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 18:58:45,2019-01-08 18:59:34,48.555s,PASSED
