Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Form 1A - Cessation as Employer,Firefox 63.0,This test suite consisted all automated workflow,2018-11-23 17:01:56,2018-11-23 18:23:23,1h - 21m - 26.657s,FAILED
,,,,,,
Test Cases/Final Aug 2018 - PKS Automation/Registration Module/Workflow/Form 1A - Cessation As Employer/Employer to UO (Approve),Firefox 63.0,,2018-11-23 17:01:57,2018-11-23 17:14:54,12m - 57.563s,PASSED
callTestCase,Firefox 63.0,,2018-11-23 17:01:57,2018-11-23 17:12:33,10m - 35.787s,PASSED
callTestCase,Firefox 63.0,,2018-11-23 17:12:33,2018-11-23 17:14:54,2m - 21.436s,PASSED
,,,,,,
Test Cases/Final Aug 2018 - PKS Automation/Registration Module/Workflow/Form 1A - Cessation As Employer/Employer to UO (Query),Firefox 63.0,,2018-11-23 17:14:54,2018-11-23 17:30:05,15m - 10.326s,PASSED
callTestCase,Firefox 63.0,,2018-11-23 17:14:55,2018-11-23 17:25:25,10m - 30.209s,PASSED
callTestCase,Firefox 63.0,,2018-11-23 17:25:25,2018-11-23 17:30:05,4m - 39.902s,PASSED
,,,,,,
Test Cases/Final Aug 2018 - PKS Automation/Registration Module/Workflow/Form 1A - Cessation As Employer/Employer to UO (Reject),Firefox 63.0,,2018-11-23 17:30:05,2018-11-23 17:44:21,14m - 16.634s,PASSED
callTestCase,Firefox 63.0,,2018-11-23 17:30:05,2018-11-23 17:40:30,10m - 25.064s,PASSED
callTestCase,Firefox 63.0,,2018-11-23 17:40:30,2018-11-23 17:44:21,3m - 51.328s,PASSED
,,,,,,
Test Cases/Final Aug 2018 - PKS Automation/Registration Module/Workflow/Form 1A - Cessation As Employer/Employer to UO (Under enforcement),Firefox 63.0,,2018-11-23 17:44:21,2018-11-23 17:48:10,3m - 48.741s,PASSED
callTestCase,Firefox 63.0,,2018-11-23 17:44:22,2018-11-23 17:46:01,1m - 39.284s,PASSED
callTestCase,Firefox 63.0,,2018-11-23 17:46:01,2018-11-23 17:48:10,2m - 9.213s,PASSED
,,,,,,
Test Cases/Final Aug 2018 - PKS Automation/Registration Module/Workflow/Form 1A - Cessation As Employer/OTC to UO (Approve),Firefox 63.0,,2018-11-23 17:48:10,2018-11-23 17:52:12,4m - 2.305s,PASSED
callTestCase,Firefox 63.0,,2018-11-23 17:48:10,2018-11-23 17:49:50,1m - 39.252s,PASSED
callTestCase,Firefox 63.0,,2018-11-23 17:49:50,2018-11-23 17:52:12,2m - 22.810s,PASSED
,,,,,,
Test Cases/Final Aug 2018 - PKS Automation/Registration Module/Workflow/Form 1A - Cessation As Employer/OTC to UO (Query),Firefox 63.0,,2018-11-23 17:52:12,2018-11-23 17:56:19,4m - 6.948s,FAILED
callTestCase,Firefox 63.0,,2018-11-23 17:52:13,2018-11-23 17:56:19,4m - 6.689s,FAILED
,,,,,,
