Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
New Registration,Chrome 70.0.3538.110,,2018-12-06 21:41:31,2018-12-06 22:36:34,55m - 2.989s,FAILED
,,,,,,
Test Cases/Final Aug 2018 - PKS Automation/Registration Module/Workflow/New Registration/Case OTC to RO - RO Under Enforcement,Chrome 70.0.3538.110,,2018-12-06 21:41:31,2018-12-06 21:50:07,8m - 35.149s,PASSED
callTestCase,Chrome 70.0.3538.110,,2018-12-06 21:41:32,2018-12-06 21:42:12,40.102s,PASSED
callTestCase,Chrome 70.0.3538.110,,2018-12-06 21:42:12,2018-12-06 21:42:47,34.895s,PASSED
callTestCase,Chrome 70.0.3538.110,,2018-12-06 21:42:47,2018-12-06 21:45:54,3m - 7.551s,PASSED
callTestCase,Chrome 70.0.3538.110,,2018-12-06 21:45:54,2018-12-06 21:46:29,34.295s,PASSED
callTestCase,Chrome 70.0.3538.110,,2018-12-06 21:46:29,2018-12-06 21:46:30,1.232s,PASSED
callTestCase,Chrome 70.0.3538.110,,2018-12-06 21:46:30,2018-12-06 21:47:26,56.461s,PASSED
callTestCase,Chrome 70.0.3538.110,,2018-12-06 21:47:26,2018-12-06 21:47:27,0.883s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-06 21:47:27,2018-12-06 21:47:29,2.003s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-06 21:47:29,2018-12-06 21:47:30,0.312s,PASSED
click,Chrome 70.0.3538.110,,2018-12-06 21:47:30,2018-12-06 21:47:30,0.186s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-06 21:47:30,2018-12-06 21:47:32,2.001s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-06 21:47:32,2018-12-06 21:47:32,0.248s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-06 21:47:32,2018-12-06 21:47:34,2.001s,PASSED
click,Chrome 70.0.3538.110,,2018-12-06 21:47:34,2018-12-06 21:47:34,0.155s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-06 21:47:34,2018-12-06 21:47:36,2.001s,PASSED
Statement - Try,Chrome 70.0.3538.110,,2018-12-06 21:47:36,2018-12-06 21:47:36,0.001s,PASSED
Statement - Catch (Exception e),Chrome 70.0.3538.110,,2018-12-06 21:47:36,2018-12-06 21:47:36,0.052s,PASSED
click,Chrome 70.0.3538.110,,2018-12-06 21:47:36,2018-12-06 21:47:36,0.160s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-06 21:47:36,2018-12-06 21:47:38,2.002s,PASSED
setText,Chrome 70.0.3538.110,,2018-12-06 21:47:38,2018-12-06 21:47:39,0.290s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-06 21:47:39,2018-12-06 21:47:41,2.001s,PASSED
click,Chrome 70.0.3538.110,,2018-12-06 21:47:41,2018-12-06 21:47:41,0.173s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-06 21:47:41,2018-12-06 21:47:43,2.001s,PASSED
click,Chrome 70.0.3538.110,,2018-12-06 21:47:43,2018-12-06 21:47:46,3.496s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-06 21:47:46,2018-12-06 21:47:48,2.001s,PASSED
click,Chrome 70.0.3538.110,,2018-12-06 21:47:48,2018-12-06 21:47:50,1.840s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-06 21:47:50,2018-12-06 21:47:52,2.001s,PASSED
click,Chrome 70.0.3538.110,,2018-12-06 21:47:52,2018-12-06 21:47:52,0.163s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-06 21:47:52,2018-12-06 21:47:54,2.001s,PASSED
click,Chrome 70.0.3538.110,,2018-12-06 21:47:54,2018-12-06 21:47:55,0.189s,PASSED
delay,Chrome 70.0.3538.110,,2018-12-06 21:47:55,2018-12-06 21:47:57,2.002s,PASSED
