Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Update Add New Employee,Chrome 71.0.3578.98,,2019-01-08 15:57:12,2019-01-08 17:22:11,1h - 24m - 58.282s,FAILED
,,,,,,
Test Cases/Final Aug 2018 - PKS Automation/Registration Module/Workflow/Update Add New Employee/Add Employee and Set Incomplete ( OTC - PKRBO),Chrome 71.0.3578.98,(Extra TC) this is added as an additional TC and will not show up in squash,2019-01-08 15:57:13,2019-01-08 16:05:14,8m - 0.575s,PASSED
openBrowser,Chrome 71.0.3578.98,,2019-01-08 15:57:14,2019-01-08 15:57:18,4.198s,PASSED
navigateToUrl,Chrome 71.0.3578.98,,2019-01-08 15:57:18,2019-01-08 15:57:19,1.372s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 15:57:19,2019-01-08 15:57:20,1.087s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-08 15:57:20,2019-01-08 15:57:22,2.011s,PASSED
setText,Chrome 71.0.3578.98,,2019-01-08 15:57:22,2019-01-08 15:57:23,0.438s,PASSED
click,Chrome 71.0.3578.98,,2019-01-08 15:57:23,2019-01-08 15:57:23,0.241s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-08 15:57:23,2019-01-08 15:57:25,2.003s,PASSED
setText,Chrome 71.0.3578.98,,2019-01-08 15:57:25,2019-01-08 15:57:26,1.132s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-08 15:57:26,2019-01-08 15:57:28,2.002s,PASSED
click,Chrome 71.0.3578.98,,2019-01-08 15:57:28,2019-01-08 15:57:28,0.172s,PASSED
Statement - Try,Chrome 71.0.3578.98,,2019-01-08 15:57:28,2019-01-08 15:57:28,0.003s,PASSED
Statement - Catch (Exception e),Chrome 71.0.3578.98,,2019-01-08 15:57:28,2019-01-08 15:57:28,0.097s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-08 15:57:28,2019-01-08 15:57:33,5.004s,PASSED
click,Chrome 71.0.3578.98,,2019-01-08 15:57:33,2019-01-08 15:57:34,0.220s,PASSED
click,Chrome 71.0.3578.98,,2019-01-08 15:57:34,2019-01-08 15:57:35,1.210s,PASSED
navigateToUrl,Chrome 71.0.3578.98,,2019-01-08 15:57:35,2019-01-08 15:57:36,0.806s,PASSED
mouseOver,Chrome 71.0.3578.98,,2019-01-08 15:57:36,2019-01-08 15:57:36,0.166s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-08 15:57:36,2019-01-08 15:57:38,2.003s,PASSED
click,Chrome 71.0.3578.98,,2019-01-08 15:57:38,2019-01-08 15:57:39,0.893s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-08 15:57:39,2019-01-08 15:57:41,2.002s,PASSED
setText,Chrome 71.0.3578.98,,2019-01-08 15:57:41,2019-01-08 15:57:41,0.315s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-08 15:57:41,2019-01-08 15:57:43,2.002s,PASSED
click,Chrome 71.0.3578.98,,2019-01-08 15:57:43,2019-01-08 15:57:43,0.220s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-08 15:57:43,2019-01-08 15:57:47,4.003s,PASSED
click,Chrome 71.0.3578.98,,2019-01-08 15:57:47,2019-01-08 15:57:50,2.602s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 15:57:50,2019-01-08 16:01:08,3m - 18.184s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-08 16:01:08,2019-01-08 16:01:12,4.001s,PASSED
Statement - CaseReferenceNo = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Final Object Repo/Page_Update Add New Employee - ASSIST/RefNo)),Chrome 71.0.3578.98,,2019-01-08 16:01:12,2019-01-08 16:01:12,0.102s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-08 16:01:12,2019-01-08 16:01:18,5.470s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-08 16:01:18,2019-01-08 16:01:23,5.000s,PASSED
click,Chrome 71.0.3578.98,,2019-01-08 16:01:23,2019-01-08 16:01:23,0.177s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-08 16:01:23,2019-01-08 16:01:25,2.001s,PASSED
click,Chrome 71.0.3578.98,,2019-01-08 16:01:25,2019-01-08 16:01:25,0.203s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-08 16:01:25,2019-01-08 16:01:29,4.001s,PASSED
click,Chrome 71.0.3578.98,,2019-01-08 16:01:29,2019-01-08 16:01:32,3.282s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-08 16:01:32,2019-01-08 16:01:36,4.004s,PASSED
click,Chrome 71.0.3578.98,,2019-01-08 16:01:36,2019-01-08 16:01:36,0.209s,PASSED
delay,Chrome 71.0.3578.98,,2019-01-08 16:01:36,2019-01-08 16:01:40,4.001s,PASSED
click,Chrome 71.0.3578.98,,2019-01-08 16:01:40,2019-01-08 16:01:41,0.186s,PASSED
