Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Update Employer Information,Chrome 71.0.3578.98,,2019-01-03 22:27:02,2019-01-03 23:20:57,53m - 54.567s,PASSED
,,,,,,
Test Cases/Final Aug 2018 - PKS Automation/Registration Module/Workflow/Update Employer Information/Employer - UO (Approve),Chrome 71.0.3578.98,,2019-01-03 22:27:02,2019-01-03 22:30:21,3m - 18.067s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-03 22:27:03,2019-01-03 22:28:09,1m - 5.909s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-03 22:28:09,2019-01-03 22:30:21,2m - 11.813s,PASSED
,,,,,,
Test Cases/Final Aug 2018 - PKS Automation/Registration Module/Workflow/Update Employer Information/Employer - UO (Query),Chrome 71.0.3578.98,,2019-01-03 22:30:21,2019-01-03 22:35:10,4m - 49.333s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-03 22:30:21,2019-01-03 22:31:23,1m - 2.063s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-03 22:31:23,2019-01-03 22:35:10,3m - 47.039s,PASSED
,,,,,,
Test Cases/Final Aug 2018 - PKS Automation/Registration Module/Workflow/Update Employer Information/Employer - UO (Reject),Chrome 71.0.3578.98,,2019-01-03 22:35:10,2019-01-03 22:38:06,2m - 56.209s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-03 22:35:10,2019-01-03 22:36:14,1m - 4.098s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-03 22:36:14,2019-01-03 22:38:06,1m - 51.860s,PASSED
,,,,,,
Test Cases/Final Aug 2018 - PKS Automation/Registration Module/Workflow/Update Employer Information/Employer - UO (Under enforcement),Chrome 71.0.3578.98,,2019-01-03 22:38:06,2019-01-03 22:41:03,2m - 57.189s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-03 22:38:06,2019-01-03 22:39:09,1m - 2.744s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-03 22:39:09,2019-01-03 22:41:03,1m - 54.175s,PASSED
,,,,,,
Test Cases/Final Aug 2018 - PKS Automation/Registration Module/Workflow/Update Employer Information/OTC - UO (Approve),Chrome 71.0.3578.98,,2019-01-03 22:41:03,2019-01-03 22:44:08,3m - 4.832s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-03 22:41:04,2019-01-03 22:41:58,53.936s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-03 22:41:58,2019-01-03 22:44:08,2m - 10.575s,PASSED
,,,,,,
Test Cases/Final Aug 2018 - PKS Automation/Registration Module/Workflow/Update Employer Information/OTC - UO (Query),Chrome 71.0.3578.98,,2019-01-03 22:44:08,2019-01-03 22:48:46,4m - 37.541s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-03 22:44:08,2019-01-03 22:45:01,53.128s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-03 22:45:01,2019-01-03 22:48:46,3m - 44.145s,PASSED
,,,,,,
Test Cases/Final Aug 2018 - PKS Automation/Registration Module/Workflow/Update Employer Information/OTC - UO (Reject),Chrome 71.0.3578.98,,2019-01-03 22:48:46,2019-01-03 22:51:33,2m - 47.268s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-03 22:48:46,2019-01-03 22:49:41,55.081s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-03 22:49:41,2019-01-03 22:51:33,1m - 51.934s,PASSED
,,,,,,
Test Cases/Final Aug 2018 - PKS Automation/Registration Module/Workflow/Update Employer Information/OTC - UO (Under enforcement),Chrome 71.0.3578.98,,2019-01-03 22:51:33,2019-01-03 22:54:20,2m - 47.108s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-03 22:51:33,2019-01-03 22:52:28,54.392s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-03 22:52:28,2019-01-03 22:54:20,1m - 52.423s,PASSED
,,,,,,
Test Cases/Final Aug 2018 - PKS Automation/Registration Module/Workflow/Update Employer Information/PAU - UO (Approve),Chrome 71.0.3578.98,,2019-01-03 22:54:20,2019-01-03 22:57:26,3m - 6.432s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-03 22:54:20,2019-01-03 22:55:15,54.807s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-03 22:55:15,2019-01-03 22:57:26,2m - 11.372s,PASSED
,,,,,,
Test Cases/Final Aug 2018 - PKS Automation/Registration Module/Workflow/Update Employer Information/PAU - UO (Query),Chrome 71.0.3578.98,,2019-01-03 22:57:26,2019-01-03 23:02:07,4m - 40.244s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-03 22:57:27,2019-01-03 22:58:20,53.468s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-03 22:58:20,2019-01-03 23:02:07,3m - 46.498s,PASSED
,,,,,,
Test Cases/Final Aug 2018 - PKS Automation/Registration Module/Workflow/Update Employer Information/PAU - UO (Reject),Chrome 71.0.3578.98,,2019-01-03 23:02:07,2019-01-03 23:04:52,2m - 45.391s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-03 23:02:07,2019-01-03 23:03:00,53.363s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-03 23:03:00,2019-01-03 23:04:52,1m - 51.806s,PASSED
,,,,,,
Test Cases/Final Aug 2018 - PKS Automation/Registration Module/Workflow/Update Employer Information/PAU - UO (Under enforcement),Chrome 71.0.3578.98,,2019-01-03 23:04:52,2019-01-03 23:07:38,2m - 45.992s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-03 23:04:52,2019-01-03 23:05:46,53.615s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-03 23:05:46,2019-01-03 23:07:38,1m - 52.100s,PASSED
,,,,,,
Test Cases/Final Aug 2018 - PKS Automation/Registration Module/Workflow/Update Employer Information/PKRBO - UO (Approve),Chrome 71.0.3578.98,,2019-01-03 23:07:38,2019-01-03 23:10:44,3m - 5.779s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-03 23:07:38,2019-01-03 23:08:32,54.004s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-03 23:08:32,2019-01-03 23:10:44,2m - 11.494s,PASSED
,,,,,,
Test Cases/Final Aug 2018 - PKS Automation/Registration Module/Workflow/Update Employer Information/PKRBO - UO (Query),Chrome 71.0.3578.98,,2019-01-03 23:10:44,2019-01-03 23:15:24,4m - 39.996s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-03 23:10:44,2019-01-03 23:11:39,54.377s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-03 23:11:39,2019-01-03 23:15:24,3m - 45.339s,PASSED
,,,,,,
Test Cases/Final Aug 2018 - PKS Automation/Registration Module/Workflow/Update Employer Information/PKRBO - UO (Reject),Chrome 71.0.3578.98,,2019-01-03 23:15:24,2019-01-03 23:18:08,2m - 44.422s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-03 23:15:24,2019-01-03 23:16:17,53.123s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-03 23:16:17,2019-01-03 23:18:08,1m - 51.034s,PASSED
,,,,,,
Test Cases/Final Aug 2018 - PKS Automation/Registration Module/Workflow/Update Employer Information/PKRBO - UO (Under enforcement),Chrome 71.0.3578.98,,2019-01-03 23:18:08,2019-01-03 23:20:56,2m - 47.673s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-03 23:18:09,2019-01-03 23:19:02,52.995s,PASSED
callTestCase,Chrome 71.0.3578.98,,2019-01-03 23:19:02,2019-01-03 23:20:56,1m - 54.432s,PASSED
